from,to,timestamp,value
0x027beefcbad782faf69fad12dee97ed894c68549,0xef190213030f1082d9a2c28655ab6d2f65115ffe,"2017.03.13, 12:06:29",1.136
0x027beefcbad782faf69fad12dee97ed894c68549,0xb90a82ec61627885eab72f4253939285ba40c91d,"2017.03.13, 12:09:57",1500.0
0x027beefcbad782faf69fad12dee97ed894c68549,0x68f08802d7d76ceab44ee5ead305b26e6a345026,"2017.03.13, 12:09:57",162.64572375
0x027beefcbad782faf69fad12dee97ed894c68549,0x05ce0ba1282109224eadcecd066f9bb850831a46,"2017.03.13, 12:10:20",228.22867688
0x027beefcbad782faf69fad12dee97ed894c68549,0x5848ca16157c828884b0c1638947a9b38326b497,"2017.03.13, 12:14:25",200.0
0x027beefcbad782faf69fad12dee97ed894c68549,0x025b90645f58aeabd4d70bedb0a5909d59ca3ba9,"2017.03.13, 12:14:25",300.0
0x027beefcbad782faf69fad12dee97ed894c68549,0x46d9ccaaf1aa1c349ecbae66435a58fe1e9d008b,"2017.03.13, 12:15:20",300.0
0x027beefcbad782faf69fad12dee97ed894c68549,0x22c9877960464a116a89f2afecf3d4f3f122dbdb,"2017.03.13, 12:16:08",150.0
0x027beefcbad782faf69fad12dee97ed894c68549,0x9acf1088e936f599677b302c6b650387348caa4c,"2017.03.13, 12:18:17",1.5276
0x027beefcbad782faf69fad12dee97ed894c68549,0xd589dfb1d102daec723dee83967860a7c5e66e87,"2017.03.13, 12:20:05",65.0831732
0x027beefcbad782faf69fad12dee97ed894c68549,0xd8a832d2463d9aa70716e824798ce9e7439b27d1,"2017.03.13, 12:23:22",421.7
0x027beefcbad782faf69fad12dee97ed894c68549,0x45083c507882cb7b638f660762b28e2f1a504f73,"2017.03.13, 12:24:53",609.8
0x027beefcbad782faf69fad12dee97ed894c68549,0x0156eceba497e44febbe494d9c49d6ce38cf7e1c,"2017.03.13, 12:24:53",1.136
0x027beefcbad782faf69fad12dee97ed894c68549,0x57b727dc48b5d9261958e0fb9f94fa02dc328bf6,"2017.03.13, 12:26:14",18000.0
0x027beefcbad782faf69fad12dee97ed894c68549,0xc7c90f4e50dcefa9b9fd0a23cb99bca93684c97e,"2017.03.13, 12:31:13",3.641
